recoverykey,ivr_call_id,acd_area_nm,call_end_dt,call_end_tm,call_answer_tm,route_value,icm_acct_type_cd,eqp_prod_id,cust_value,lang_pref_ind,cacs_state_cd,first_bill_cd,onstar_ind,transfer_point,onebill_ind,high_risk_ind,cacs_work_state_cd,ivr_cust_src_cd,bus_rule,script_nm,eccr_line_bus_nm,eccr_super_line_bus_nm,eccr_dept_nm,mtn,eccr_call_ctr_cd,acd_appl_id,agent_group_id,callers_region,transfer_flag,final_call_dispo,call_dispo_flag,peripheral_call_type,final_object_id,call_duration_seconds,ring_tm_seconds,delay_tm_seconds,time_to_aband_seconds,hold_tm_seconds,talk_tm_seconds,work_tm_seconds,local_q_tm_seconds,handle_tm_seconds,delay_answer_seconds,call_offered_cnt,answer_half_hr,abandons_cnt,answered_cnt,ansr_30_cnt,ansr_30_to_40_cnt,tm_zone_offset,callcenterid,sor_id,cust_id,cust_line_seq_id,acss_call_id,callcenterid_agent,acd_area_nm_agent,eccr_line_bus_nm_agent,eccr_dept_nm_agent,rep_type_cd,ecc_sm_ind,eid,call_answer_dt,routercallkeyday,routercallkey,super_bus_rule,super_skill_group,super_call_type_cd,dev_cat_cd,hpr_cd,specialization_cd,client_channel_cd,client_application_cd,call_status,call_reas_cd,orig_ivr_call_id
9.1823E+12,,,2020-03-01,16:29:50,16:28:28,,,,,,,,,,,,,,,,,,,,VDM,,13756,,0,13,1,2,,117,34,1,0,0,82,0,0,82,34,1,33,0,1,0,1,,,,,,,,,,,,,,2020-03-01,,,,,,,,,,,,,
9.1823E+12,,,2020-03-01,16:49:23,16:48:54,,,,,,,,,,,,,,,,,,,,VDM,,13756,,0,13,1,2,,62,32,1,0,0,29,0,0,29,32,1,34,0,1,0,1,,,,,,,,,,,,,,2020-03-01,,,,,,,,,,,,,
9.1823E+12,,,2020-03-01,16:30:03,16:29:32,,,,,,,,,,,,,,,,,,,,VDM,,13758,,0,13,1,2,,42,11,0,0,0,31,0,0,31,11,1,33,0,1,1,0,,,,,,,,,,,,,,2020-03-01,,,,,,,,,,,,,
9.1823E+12,qflwsBq6xpSgOPzP3qGp65TxG9Qu1BTKc6DNylBtpPIwrPzorWs5HsQfrZU2OvSGCD7/hiZq2YgS0Vai9umf8Q==,Enterprise Queue,2020-03-01,15:58:36,15:43:28,ASH,NATX,33921,MN,E,N5,0,N,BSCM2M5,N,N,N25,N,NA,,BGCO-Tech M2M,BGCO Tech,BGCO Tech,ViKVrYhVzdAid6nX9zezxx5gA8Jm+AoFX1zEriPq1vQGVP1+kiR++T1NQJ2O5YrDhs6dp0JAgbcPTf6icLvneA==,EQ2,5837,22020,SC,1,30,1,2,,909,0,1,0,620,288,0,0,908,0,1,32,0,1,1,0,0,250,V,zDuLEyxD+KXHPE0LkBsBdMR3gnWBkKmL1cdzpe79IqqL87ilISTdz+caWxUaM6lcj3g0V9SYy3iEu4aBWPvw1A==,24194,lPoKrQOIJESo75vHjPpHSBzOaH0KzMyJb38M8G/Pwo0ENNxX8DrQ/VrHXaXVCSbYgv4uSnvkM8icuf1kSJ/HBg==,21,Legacy,BGCO-Tech Expert,eUURaqJHOi+KJ6HHQlfahsh97FCGLRAMACSmhdVJ8nbKHWETtXga28ajn+Jd37B2xmC/8woeLw97jX8b+TWrog==,C,,,2020-03-01,,,,,,,,,,,,,
9.1823E+12,ljaXYuPPxTy6MYATvteIgUjH4FdG3MpAJOKYjZ8YKUgVL97OvVENFfp6oRq2jZ/o7WPO+xHXZPxR6sdl9cf8hQ==,Enterprise Queue,2020-03-01,12:51:28,11:38:03,DEF,CONX,0,MN,E,N0,0,N,CFSACCI,N,N,0,N,NA,,BGCO-Tech Expert Transfers,BGCO Tech,BGCO Tech,6hRuR5utq5L4JspFtjvndW3SuvoDGeI5Oqe3VB3a2ict7BtyA/4ydPjh8lI5af78baTza3SEjdE7DiSXf4ZpNQ==,EQ2,5841,22020,GL,0,13,1,2,,4406,0,1,0,1287,3118,0,0,4405,0,1,24,0,1,1,0,0,250,V,eRd58TSidjsL4nXd2gCFcpXljs+5qV3x58nuGfF7Gsl9m9WKZNYutX71QcYq+15irQDNm+5McKkzC09OMiG+jg==,5,qG3wwUb3WtfVt6XWhPibsPq70yqDO49NZlopWMCtR9b7CohedNiLF6NBzUuwhGk701YBOprcJ1k24SxuU3jTeQ==,21,Legacy,BGCO-Tech Expert,eUURaqJHOi+KJ6HHQlfahsh97FCGLRAMACSmhdVJ8nbKHWETtXga28ajn+Jd37B2xmC/8woeLw97jX8b+TWrog==,C,,,2020-03-01,,,,,,,,,,,,,
9.1823E+12,8cazmu3leJEUHhNp6FifhnGEK3BrWNixG+IGB1RBMIWok2JR2DzAbknpMQ8FBGYbXNaEbBrVlf3O1ljKL+jYNg==,Enterprise Queue,2020-03-01,19:26:33,19:08:07,DEF,CONX,0,MN,E,N0,0,N,CFSACBD,N,N,0,N,NA,,BGCO-Tech Advisor Transfers,BGCO Tech,BGCO Tech,89CVWABGPAbrlKHQF7gzmW4+ngGh+TN4AMVNZgTf7LAjtMpIPcpKSDtv6zonDjrvUzNEFXhCE9RLIwqyWKEknw==,EQ2,5854,22021,NC,0,13,1,2,,1106,0,0,0,485,561,60,0,1106,0,1,39,0,1,1,0,0,250,,,,,21,Legacy,BGCO-Tech Advisor,eUURaqJHOi+KJ6HHQlfahsh97FCGLRAMACSmhdVJ8nbKHWETtXga28ajn+Jd37B2xmC/8woeLw97jX8b+TWrog==,C,,,2020-03-01,,,,,,,,,,,,,
9.1823E+12,S/90SLc6HjqNtWI5TtTigPTkaEMi9+/wPVun0SV0qt4+aTQtT0R3yOiNgr9H0ieOtEBwJV9QBqNxcWkeaXeTkA==,Enterprise Queue,2020-03-01,14:52:34,14:48:51,DEF,SMBC,36237,MN,E,W0,0,N,INTTECH,N,N,0,N,NA,,BGCO-Global Tech,BGCO Global Tech,BGCO Tech,ybS8s4tK7k78wwT+2L2N5iFW8YHULju/I0ybZMpb5hKwYCUSCI9a2YNkqP7Kyeqh+7BNgKfNk6zuK1mqKdgLGQ==,EQ2,5843,22021,NE,1,30,1,2,,223,0,0,0,120,103,0,0,223,0,1,30,0,1,1,0,0,250,V,o7625goEFBuy6XGyENdp1okUSzM92sk9ShtjE3cin6HLtRqcnC38z5s0CuU2tJXblQJQ0MPK+3+Wl7y3SOrc6Q==,2,JRflNDiT3Pk2gQPHbRHuY9Q5kNAteuJpuE4SSt6eRhxLq6Y8V27Ceuj9YwmwOjsHiHBqHnHoHz3TAFC/qQkq9w==,21,Legacy,BGCO-Tech Advisor,eUURaqJHOi+KJ6HHQlfahsh97FCGLRAMACSmhdVJ8nbKHWETtXga28ajn+Jd37B2xmC/8woeLw97jX8b+TWrog==,C,,,2020-03-01,,,,,,,,,,,,,
9.1823E+12,Opd2qukFXu80PLNp8jU8CfCiorSNC4WCW4F0V3wL1k3SF4CvXkakOAIH+mr6CIETEm/dG2z/LpfKH6e3LqZWFw==,Enterprise Queue,2020-03-01,11:34:06,11:31:03,ASH,NATX,3620,MN,E,N0,0,N,BSCM2M4,N,N,0,N,NA,,BGCO-CLEU In-House Eligible,BGCO Care,BSC,lWwr207ddkR6McwkxOaBfbagnzjKIWLz+zOy61um2jFZ1LKgR5ODOkrGx8DCnvrcGqfCzLDNhpo2rZyQvOzy7Q==,EQ2,6171,22021,SE,1,29,1,2,,189,0,0,0,65,58,60,6,183,6,1,24,0,1,1,0,0,250,V,jC8xbd0kAn/qbe+5f5wehJ/D/GYRF6tZBoyV3h1C2zIiU5sj/L0Ed4wzDgXpHUZrSAUhsT20VvRIw3ir14j3cw==,14723,LkVV0h/zo3pjxhLWDs03q/mnuqxcDidB3oSzwIf7RSik0u9wiSkxwHyvmhFlITM2vhdxZIKoTxd0gg0hvvPpjg==,21,Legacy,BGCO-Tech Advisor,eUURaqJHOi+KJ6HHQlfahsh97FCGLRAMACSmhdVJ8nbKHWETtXga28ajn+Jd37B2xmC/8woeLw97jX8b+TWrog==,C,,,2020-03-01,,,,,,,,,,,,,
9.1823E+12,vMRJbmYb1WrYBFvWp8KDunP4h8KxgA7P+0zIal570Jm/adp/dIcGmRZ3v2cGg7bU8XR2+LgaxdlMj/LkKhr5WQ==,Enterprise Queue,2020-03-01,19:14:41,19:09:44,DEF,MAJX,46530,MN,E,N0,0,N,BSCM2M2,N,N,0,N,NA,,BGCO-CLEU In-House Eligible,BGCO Care,BSC,vfIlD9w73j5vImhsisqZYp4qZ4J/g7QaxuZQBhP3xoepgj2ty9oB7TH/vFZ+8UvfeexOasdqWiOFIbTI9SWFhw==,EQ2,6171,22021,NC,1,29,1,2,,298,0,1,0,5,292,0,0,297,0,1,39,0,1,1,0,0,250,V,WN7FCDAB9lW2usDvuuBXLuSFs6nmniApalY7N6783I3n/yVL0pK4k02FYTZ2y/NMfKsRy2/qCGZgJ5FMF6pGgw==,4467,sbjgoPpeYDTOID2Qk1uJqq2X2P2VZSnvjswCFplg5xd/GKTC+EPuR0zJJoiGr906JQ7NIyBsUg5bAxc9Q5JsbQ==,21,Legacy,BGCO-Tech Advisor,eUURaqJHOi+KJ6HHQlfahsh97FCGLRAMACSmhdVJ8nbKHWETtXga28ajn+Jd37B2xmC/8woeLw97jX8b+TWrog==,C,,,2020-03-01,,,,,,,,,,,,,
9.1823E+12,2JPvxv8/F9JziZmebiev1QtBo+LLamYOLuJ2zlFHPdv/xODnYPdjhUpnh392lIxRY2Cz9BDrcWKFLiJGgF5QMg==,Enterprise Queue,2020-03-01,21:27:15,21:25:08,DEF,NATX,37838,MN,E,W5,0,N,BSCM2M4,N,N,N25,N,NA,,BGCO-CLEU In-House Eligible,BGCO Care,BSC,q//1J/CmdZmIjm79c4bqC9TNqth/gOIi92/wP021QBdzUBvglpg07eBlFK94DpLPtYYLN4gc2fuiqEr4yBH32w==,EQ2,6171,22021,PC,1,30,1,2,,127,0,0,0,5,122,0,0,127,0,1,43,0,1,1,0,0,250,V,0dNrLOua/17szrG9l34NBRt411STD2wpvlw+mmAQdI8IqrtkPeJb6VbcJ7YKsD+PwHMEYSpU2Poe2IkcOjzofA==,48844,swjPcE/5sUlnZRXLaQbUdLm2I7bmUyw7GQIzko2+OnNNqjPwiinrTnpAsHB7BqtMzhSB/FVwtseCrA4QgVzTrw==,21,Legacy,BGCO-Tech Advisor,eUURaqJHOi+KJ6HHQlfahsh97FCGLRAMACSmhdVJ8nbKHWETtXga28ajn+Jd37B2xmC/8woeLw97jX8b+TWrog==,C,,,2020-03-01,,,,,,,,,,,,,
